legal_articles,legal_violation_categories,violation_keywords,is_generic,before_legal_categories,reason_ai,original_big_category,remove_reason
<<中华人民共和国公司法>>,市场主体与登记治理,ai,True,<泛类型>,违反公司设立登记等公司法规定。,无照经营/登记问题,(6-5) 公司法本身太泛 | 匹配模式: '<<中华人民共和国公司法>>' | 法条: <<中华人民共和国公司法>>
<<中华人民共和国公司法>>第七条第三款,市场主体与登记治理,ai,True,<泛类型>,公司登记虚假信息相关规定。,无照经营/登记问题,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: <<中华人民共和国公司法>>第七条第三款
<<中华人民共和国公司法>>第三十六条,市场主体与登记治理,ai,True,<泛类型>,公司登记事项变更、登记义务相关。,无照经营/登记问题,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: <<中华人民共和国公司法>>第三十六条
<<中华人民共和国公司法>>第二十五条第一款,市场主体与登记治理,ai,True,<泛类型>,公司设立登记事项违规，属登记问题。,无照经营/登记问题,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: <<中华人民共和国公司法>>第二十五条第一款
<<中华人民共和国公司法>>第二百一十一条第二款,财税与金融监管,ai,True,<泛类型>,该条款规范公司财务会计行为。,会计/账务,(6-7) 泛型法条被AI分为具体分类'财税与金融监管'，应删除 | 原标记: <泛类型> | 法条: <<中华人民共和国公司法>>第二百一十一条第二款
<<中华人民共和国公司法>>第二百零一条,市场主体与登记治理,ai,True,<泛类型>,仅给出条号无具体内容，无法判断。,其他违法行为,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: <<中华人民共和国公司法>>第二百零一条
<<公司法>>第二百一十二条第二款,财税与金融监管,ai,True,<泛类型>,公司法该条多涉及账务责任。,会计/账务,(6-7) 泛型法条被AI分为具体分类'财税与金融监管'，应删除 | 原标记: <泛类型> | 法条: <<公司法>>第二百一十二条第二款
<<家居空气净化竹炭 使用说明>>,产品质量与安全,ai,True,<泛类型>,涉及产品说明和使用要求内容。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: <<家居空气净化竹炭 使用说明>>
<<工商行政管理机关行政处罚程序规定>>第十六条、第十七条,其他,ai,True,<泛类型>,仅为程序规定条款，无法细分类型。,其他违法行为,(6-5) 程序性，不含实体违规 | 匹配模式: '行政处罚程序' | 法条: <<工商行政管理机关行政处罚程序规定>>第十六条、第十七条
<<竹炭座垫 产品功效>>,市场秩序与竞争监管,ai,True,<泛类型>,宣传竹炭座垫功效涉嫌夸大疗效。,虚假广告/虚假宣传,(6-7) 泛型法条被AI分为具体分类'市场秩序与竞争监管'，应删除 | 原标记: <泛类型> | 法条: <<竹炭座垫 产品功效>>
《(租房)协议书》,建设工程与房地产,ai,True,<泛类型>,与房屋租赁协议内容直接相关。,房地产/土地,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《(租房)协议书》
《***人******政处罚法》第七十二条第一款第(一)项规定可以每日按罚款数额的百分之三加处罚款,其他,ai,True,<泛类型>,仅提及加处罚款规则，无法判断具体领域。,其他违法行为,(6-5) 处罚措施描述 | 匹配模式: '可以每日按罚款数额的百分之三加处罚款' | 法条: 《***人******政处罚法》第七十二条第一款第(一)项规定可以每日按罚款数额的百分之三加处罚款
《***人民共和国行政处罚法》第七十二条第一款第(一)项规定可以每日按罚款数额的百分之三加处罚款,其他,ai,True,<泛类型>,仅见加处罚款规则，无法细分领域。,其他违法行为,(6-5) 处罚措施描述 | 匹配模式: '可以每日按罚款数额的百分之三加处罚款' | 法条: 《***人民共和国行政处罚法》第七十二条第一款第(一)项规定可以每日按罚款数额的百分之三加处罚款
《***人民共和国行政处罚法》第七十二条第一款第（一）项规定可以每日按罚款数额的百分之三加处罚款,其他,ai,True,<泛类型>,仅提及行罚法条款，无具体领域信息。,其他违法行为,(6-5) 处罚措施描述 | 匹配模式: '可以每日按罚款数额的百分之三加处罚款' | 法条: 《***人民共和国行政处罚法》第七十二条第一款第（一）项规定可以每日按罚款数额的百分之三加处罚款
《***公路条例》第五十三条第一款第(三)项的规定,交通运输,ai,True,<泛类型>,属公路领域管理义务违法。,交通运输违规,(6-7) 泛型法条被AI分为具体分类'交通运输'，应删除 | 原标记: <泛类型> | 法条: 《***公路条例》第五十三条第一款第(三)项的规定
《0.62%四氟甲醚菊酯电热蚊香液》,产品质量与安全,ai,True,<泛类型>,涉及具体产品名称，引发质量监管。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《0.62%四氟甲醚菊酯电热蚊香液》
《100102回风巷掘进工作面作业规程》,安全生产,ai,True,<泛类型>,《作业规程》属矿山作业安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《100102回风巷掘进工作面作业规程》
《1020D回采作业规程》,安全生产,ai,True,<泛类型>,《回采作业规程》属矿山安全生产规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1020D回采作业规程》
《1021上下运掘进工作面作业规程》,安全生产,ai,True,<泛类型>,煤矿掘进作业规程，属安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1021上下运掘进工作面作业规程》
《1026回风巷（炮掘）作业规程》,安全生产,ai,True,<泛类型>,《作业规程》属矿山安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1026回风巷（炮掘）作业规程》
《10503综采工作面作业规程》,安全生产,ai,True,<泛类型>,矿井综采作业规程，属安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《10503综采工作面作业规程》
《10700回采工作面作业规程》,安全生产,ai,True,<泛类型>,矿井回采作业规程属安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《10700回采工作面作业规程》
《10709中面作业规程》,安全生产,ai,True,<泛类型>,《作业规程》通常规范作业安全行为。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《10709中面作业规程》
《10KV及以下变电所设计规范》,建设工程与房地产,ai,True,<泛类型>,《变电所设计规范》属工程设计规范。,建设工程,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《10KV及以下变电所设计规范》
《11012采面作业规程》,安全生产,ai,True,<泛类型>,《采面作业规程》属安全生产规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《11012采面作业规程》
